key,fpr,tpr,threshold
threshold_0,0.0,0.0,2.0
threshold_1,0.0,0.011235955056179775,1.0
threshold_2,0.0,0.02247191011235955,0.96870977
threshold_3,0.0,0.033707865168539325,0.95268524
threshold_4,0.0,0.0449438202247191,0.9507292
threshold_5,0.0,0.056179775280898875,0.9495107
threshold_6,0.0,0.06741573033707865,0.94340765
threshold_7,0.0,0.07865168539325842,0.9294388
threshold_8,0.0,0.0898876404494382,0.9278731
threshold_9,0.0,0.10112359550561797,0.9062319
threshold_10,0.0,0.11235955056179775,0.9044949
threshold_11,0.0,0.12359550561797752,0.89590514
threshold_12,0.0,0.1348314606741573,0.88450766
threshold_13,0.0,0.14606741573033707,0.8840074
threshold_14,0.0,0.15730337078651685,0.8834298
threshold_15,0.0,0.16853932584269662,0.88178396
threshold_16,0.0,0.1797752808988764,0.8701736
threshold_17,0.0,0.19101123595505617,0.8685814
threshold_18,0.0,0.20224719101123595,0.8640019
threshold_19,0.0,0.21348314606741572,0.86124456
threshold_20,0.0,0.2247191011235955,0.8599486
threshold_21,0.0,0.23595505617977527,0.8504396
threshold_22,0.0,0.24719101123595505,0.84823024
threshold_23,0.0,0.25842696629213485,0.84787005
threshold_24,0.0,0.2696629213483146,0.8432756
threshold_25,0.0,0.2808988764044944,0.83900285
threshold_26,0.0,0.29213483146067415,0.8379874
threshold_27,0.0,0.30337078651685395,0.8361734
threshold_28,0.0,0.3146067415730337,0.8353653
threshold_29,0.0,0.3258426966292135,0.8352817
threshold_30,0.0,0.33707865168539325,0.8269787
threshold_31,0.0,0.34831460674157305,0.82222486
threshold_32,0.0,0.3595505617977528,0.82086134
threshold_33,0.0,0.3707865168539326,0.81943065
threshold_34,0.0,0.38202247191011235,0.81462526
threshold_35,0.0,0.39325842696629215,0.8087881
threshold_36,0.0,0.4044943820224719,0.80355996
threshold_37,0.0,0.4157303370786517,0.7987122
threshold_38,0.0,0.42696629213483145,0.7976948
threshold_39,0.0,0.43820224719101125,0.79071754
threshold_40,0.0,0.449438202247191,0.7734912
threshold_41,0.0,0.4606741573033708,0.7718109
threshold_42,0.0,0.47191011235955055,0.77111924
threshold_43,0.0,0.48314606741573035,0.77061117
threshold_44,0.0,0.4943820224719101,0.76577985
threshold_45,0.0,0.5056179775280899,0.76246625
threshold_46,0.0,0.5168539325842697,0.76164216
threshold_47,0.0,0.5280898876404494,0.75852025
threshold_48,0.0,0.5393258426966292,0.7564656
threshold_49,0.0,0.550561797752809,0.7494975
threshold_50,0.0,0.5617977528089888,0.74348986
threshold_51,0.0,0.5730337078651685,0.7316246
threshold_52,0.0,0.5842696629213483,0.7308772
threshold_53,0.0,0.5955056179775281,0.7295777
threshold_54,0.0,0.6067415730337079,0.7265083
threshold_55,0.0,0.6179775280898876,0.7252119
threshold_56,0.0,0.6292134831460674,0.7183894
threshold_57,0.0,0.6404494382022472,0.71762645
threshold_58,0.0,0.651685393258427,0.71481746
threshold_59,0.0,0.6629213483146067,0.70943844
threshold_60,0.0,0.6741573033707865,0.70484054
threshold_61,0.0,0.6853932584269663,0.69791204
threshold_62,0.0,0.6966292134831461,0.6960166
threshold_63,0.0,0.7078651685393258,0.6927804
threshold_64,0.0,0.7191011235955056,0.6873688
threshold_65,0.0,0.7303370786516854,0.687215
threshold_66,0.0,0.7415730337078652,0.68475634
