pro,fpr,threshold
0.9914734970917126,1.0,0.26
0.9906510932486539,0.9622147530737392,0.265
0.9901402625461054,0.9241747530987151,0.27
0.9891408768291293,0.8867666405877802,0.275
0.9857425830897727,0.850571102637381,0.28
0.9845914205652481,0.8154414064865871,0.28500000000000003
0.9768693328200319,0.7813007515839334,0.29
0.976520093897036,0.7486973565000429,0.295
0.976320332032054,0.7167658101427928,0.3
0.9760794293137367,0.6851189877812196,0.305
0.9758869924953584,0.6539086173340718,0.31
0.9755709386539753,0.6238515039483601,0.315
0.9753677429657742,0.5947609536006034,0.32
0.9750747955798543,0.5670646766790443,0.325
0.9748829299411501,0.5400190190633954,0.33
0.9744008340700683,0.513055157157031,0.335
0.9740910116333847,0.4872370595753741,0.34
0.9692671682209628,0.46143332307244667,0.34500000000000003
0.9682106438934596,0.4361035021675863,0.35000000000000003
0.9640114233303335,0.41085235499837347,0.355
0.9602078347763877,0.38580538490500776,0.36
0.9505766707667473,0.3611655201738815,0.365
0.9485189919240861,0.33718189430121176,0.37
0.93755936405276,0.31444268712017287,0.375
0.9365647931605203,0.2934786341490218,0.38
0.9331137187878183,0.2733106844552562,0.385
0.930653756962557,0.25411491735199193,0.39
0.9291474499819801,0.23595626989087454,0.395
0.925556153282101,0.21877542457280474,0.4
0.9217916822754145,0.20294639383947186,0.405
0.919082146459,0.18876638958109984,0.41000000000000003
0.9161271440171783,0.17566221743797106,0.41500000000000004
0.9126727560457927,0.16336289009841087,0.42
0.9099058272847874,0.15180409490550098,0.425
0.9078562995200499,0.14122372625036606,0.43
0.904728118192055,0.13195146454905277,0.435
0.9013913522203187,0.12387616754009084,0.44
0.8975710441385049,0.11654015388832452,0.445
0.8930169156796293,0.10964184094043837,0.45
0.8868917573892754,0.10322056556425616,0.455
0.8813891279777843,0.0973144158381469,0.46
0.8747700335086855,0.09199332397157506,0.465
0.8682328920849861,0.08693759986413171,0.47000000000000003
0.8613445634406657,0.08212164333199506,0.47500000000000003
0.8555806323609081,0.07778272437156232,0.48
0.8484510065131745,0.07363487019770211,0.485
0.841890787117006,0.06975800333551664,0.49
0.833606171162012,0.06610841615409063,0.495
0.8232689910830711,0.0626136788650502,0.5
0.8109561021177292,0.05924069854784519,0.505
0.7960294859798515,0.05609874427976381,0.51
0.7791570484622302,0.05307292743097161,0.515
0.770130760491459,0.050203209264019694,0.52
0.755132892431398,0.04759698567201419,0.525
0.7431287310107116,0.04491208834436119,0.53
0.7289090548101866,0.04248756361801778,0.535
0.7152096422246007,0.040112366075135915,0.54
0.6993983615367698,0.0379887996073806,0.545
0.6841219653391551,0.035880218613081945,0.55
0.6681123047000357,0.03393023387953303,0.555
0.6548513215750869,0.03207952790763454,0.56
0.6433959002493337,0.03029251019792689,0.5650000000000001
0.6297372367389635,0.028619756723326326,0.5700000000000001
0.6096367969838603,0.027001949984733552,0.5750000000000001
0.5870489789306556,0.025482797613063837,0.58
0.5703788392527354,0.02397176237284982,0.585
0.5587763795302609,0.02254502042082956,0.59
0.5426026575347807,0.021175098388999163,0.595
0.5311767377011044,0.019852630356448218,0.6
0.5194257455519374,0.018576367533722,0.605
0.508127534162364,0.017351305078639395,0.61
0.4947285229023282,0.0161743210175636,0.615
0.47966506418358523,0.01507975706049948,0.62
0.46855193466424894,0.014049505760353558,0.625
0.45771126659300243,0.013118533221858063,0.63
0.4423195507227867,0.012224399972276876,0.635
0.4314524266756984,0.011423301537072501,0.64
0.41402720062243237,0.010647178890962573,0.645
0.4023034253785265,0.009957847111955848,0.65
0.3864986829322072,0.009295988700953014,0.655
0.3695724129996346,0.008651613342316294,0.66
0.35586735842115885,0.008035335746410823,0.665
0.345604495657846,0.007492112333606611,0.67
0.3341798988633975,0.006989474578080873,0.675
0.3241799051969504,0.006528671269288334,0.68
0.3123003284076751,0.006087848591771352,0.685
0.30005549189904296,0.005688235966260207,0.6900000000000001
0.2890615792136345,0.005321716261299203,0.6950000000000001
0.2785602170087032,0.004967060056158061,0.7000000000000001
0.2677471907722425,0.004637379640111367,0.705
0.25590430007245646,0.004345787302433704,0.71
0.24372758222081528,0.004061063306757012,0.715
0.23542142795662727,0.003798193126537962,0.72
0.2251366295632762,0.003548435235593497,0.725
0.21415555196091982,0.003348004528110563,0.73
0.20442793925639977,0.0031069881633491534,0.735
0.19036171424714313,0.0029159233767766376,0.74
0.182512519510254,0.002726107379658843,0.745
0.17182664147632254,0.0025369157772684105,0.75
0.16278744200595088,0.002360212069425201,0.755
0.15216251191606434,0.0021835083615819916,0.76
0.14079547670751788,0.0019943167591915585,0.765
0.1326111611346355,0.0018407156562607124,0.77
0.12385387982912294,0.0016977292636950058,0.775
0.11522864008187736,0.0015834650285879127,0.78
0.10806946843424783,0.0014754447407544313,0.785
0.10041965037697491,0.0013692976371030333,0.79
0.09277818404320973,0.0012781360069083034,0.795
0.08444779262233819,0.001193218323987185,0.8
0.07751351964625075,0.001109549430520789,0.805
0.0699738865966562,0.0010327488790553658,0.81
0.06312347093245003,0.000953450748680498,0.8150000000000001
0.055443751626322854,0.0008685330657593795,0.8200000000000001
0.048707000823939486,0.0007886105406571505,0.8250000000000001
0.0421991058979132,0.0007018196735539487,0.8300000000000001
