key,fpr,tpr,threshold
threshold_0,0.0,0.0,2.0
threshold_1,0.0,0.014285714285714285,1.0
threshold_2,0.0,0.02857142857142857,0.9872179
threshold_3,0.0,0.04285714285714286,0.8899161
threshold_4,0.0,0.05714285714285714,0.87206167
threshold_5,0.0,0.07142857142857142,0.8700811
threshold_6,0.0,0.08571428571428572,0.8691779
threshold_7,0.0,0.1,0.84139323
threshold_8,0.0,0.11428571428571428,0.83750474
threshold_9,0.0,0.12857142857142856,0.8367604
threshold_10,0.0,0.14285714285714285,0.834295
threshold_11,0.0,0.15714285714285714,0.8323791
threshold_12,0.0,0.17142857142857143,0.83149517
threshold_13,0.0,0.18571428571428572,0.82722014
threshold_14,0.0,0.2,0.8263692
threshold_15,0.0,0.21428571428571427,0.82338095
threshold_16,0.0,0.22857142857142856,0.8208636
threshold_17,0.0,0.24285714285714285,0.816592
threshold_18,0.0,0.2571428571428571,0.808903
threshold_19,0.0,0.2714285714285714,0.8056733
threshold_20,0.0,0.2857142857142857,0.8029832
threshold_21,0.0,0.3,0.79492325
threshold_22,0.0,0.3142857142857143,0.7868309
threshold_23,0.0,0.32857142857142857,0.7861206
threshold_24,0.0,0.34285714285714286,0.78557503
threshold_25,0.0,0.35714285714285715,0.7823041
threshold_26,0.0,0.37142857142857144,0.76105475
threshold_27,0.0,0.38571428571428573,0.74867475
threshold_28,0.0,0.4,0.7448168
threshold_29,0.0,0.4142857142857143,0.7441209
threshold_30,0.0,0.42857142857142855,0.73419416
threshold_31,0.0,0.44285714285714284,0.73038673
threshold_32,0.0,0.45714285714285713,0.7268942
threshold_33,0.0,0.4714285714285714,0.72646254
threshold_34,0.0,0.4857142857142857,0.7211665
threshold_35,0.0,0.5,0.7142722
threshold_36,0.025,0.5,0.71208185
threshold_37,0.025,0.5142857142857142,0.71196026
threshold_38,0.025,0.5285714285714286,0.70717126
threshold_39,0.025,0.5428571428571428,0.6960376
threshold_40,0.025,0.5571428571428572,0.6952463
threshold_41,0.025,0.5714285714285714,0.69488335
threshold_42,0.025,0.5857142857142857,0.6947241
threshold_43,0.025,0.6,0.68583673
threshold_44,0.025,0.6142857142857143,0.68533325
threshold_45,0.025,0.6285714285714286,0.68154347
threshold_46,0.025,0.6428571428571429,0.6777947
threshold_47,0.025,0.6571428571428571,0.6774539
threshold_48,0.025,0.6714285714285714,0.67241853
threshold_49,0.025,0.6857142857142857,0.67075366
threshold_50,0.025,0.7,0.67020196
threshold_51,0.025,0.7142857142857143,0.6681189
threshold_52,0.025,0.7285714285714285,0.6648768
threshold_53,0.025,0.7428571428571429,0.66471964
threshold_54,0.025,0.7571428571428571,0.66108394
threshold_55,0.025,0.7714285714285715,0.65881467
threshold_56,0.025,0.7857142857142857,0.64389116
threshold_57,0.025,0.8,0.64286727
threshold_58,0.025,0.8142857142857143,0.6223974
threshold_59,0.025,0.8285714285714286,0.6210816
threshold_60,0.025,0.8428571428571429,0.62064725
threshold_61,0.025,0.8571428571428571,0.6006962
threshold_62,0.025,0.8714285714285714,0.59099734
threshold_63,0.025,0.8857142857142857,0.5858506
threshold_64,0.025,0.9,0.57686
threshold_65,0.025,0.9142857142857143,0.566457
threshold_66,0.025,0.9285714285714286,0.5660861
threshold_67,0.025,0.9428571428571428,0.5633335
threshold_68,0.025,0.9571428571428572,0.56009215
threshold_69,0.025,0.9714285714285714,0.5599378
threshold_70,0.025,0.9857142857142858,0.55733216
threshold_71,0.025,1.0,0.5396129
threshold_72,0.05,1.0,0.50906646
threshold_73,0.075,1.0,0.49407658
threshold_74,0.1,1.0,0.4935701
threshold_75,0.125,1.0,0.48877388
threshold_76,0.15,1.0,0.48779318
threshold_77,0.175,1.0,0.48748764
threshold_78,0.2,1.0,0.4789522
threshold_79,0.225,1.0,0.47651854
threshold_80,0.25,1.0,0.4735088
threshold_81,0.275,1.0,0.46792814
threshold_82,0.3,1.0,0.45556742
threshold_83,0.325,1.0,0.44859514
threshold_84,0.35,1.0,0.44651544
threshold_85,0.375,1.0,0.4462787
threshold_86,0.4,1.0,0.445963
threshold_87,0.425,1.0,0.44225156
threshold_88,0.45,1.0,0.4419012
threshold_89,0.475,1.0,0.44045997
threshold_90,0.5,1.0,0.43936414
threshold_91,0.525,1.0,0.43926784
threshold_92,0.55,1.0,0.43311098
threshold_93,0.575,1.0,0.42978054
threshold_94,0.6,1.0,0.42964223
threshold_95,0.625,1.0,0.42859274
threshold_96,0.65,1.0,0.4277094
threshold_97,0.675,1.0,0.4259364
threshold_98,0.7,1.0,0.42342958
threshold_99,0.725,1.0,0.41581133
threshold_100,0.75,1.0,0.41481993
threshold_101,0.775,1.0,0.40853095
threshold_102,0.8,1.0,0.4079742
threshold_103,0.825,1.0,0.407472
threshold_104,0.85,1.0,0.40736222
threshold_105,0.875,1.0,0.4072981
threshold_106,0.9,1.0,0.40658894
threshold_107,0.925,1.0,0.40640157
threshold_108,0.95,1.0,0.40616524
threshold_109,0.975,1.0,0.40369117
threshold_110,1.0,1.0,0.40330738
