key,fpr,tpr,threshold
threshold_0,0.0,0.0,2.0
threshold_1,0.0,0.025,1.0
threshold_2,0.0,0.05,0.98121625
threshold_3,0.0,0.075,0.942731
threshold_4,0.0,0.1,0.93978363
threshold_5,0.0,0.125,0.91464096
threshold_6,0.0,0.15,0.8975767
threshold_7,0.0,0.175,0.888909
threshold_8,0.0,0.2,0.85743743
threshold_9,0.0,0.225,0.84745234
threshold_10,0.0,0.25,0.82904047
threshold_11,0.0,0.275,0.8105912
threshold_12,0.0,0.3,0.80833614
threshold_13,0.0,0.325,0.79507583
threshold_14,0.0,0.35,0.78225267
threshold_15,0.0,0.375,0.7434974
threshold_16,0.0,0.4,0.7398893
threshold_17,0.0,0.425,0.7397737
threshold_18,0.0,0.45,0.72784925
threshold_19,0.0,0.475,0.7239392
threshold_20,0.0,0.5,0.7106734
threshold_21,0.0,0.525,0.70691365
threshold_22,0.0,0.55,0.7033319
threshold_23,0.0,0.575,0.6860672
threshold_24,0.0,0.6,0.6745524
threshold_25,0.0,0.625,0.6515758
threshold_26,0.0,0.65,0.6513762
threshold_27,0.0,0.675,0.6512715
threshold_28,0.0,0.7,0.64354277
threshold_29,0.0,0.725,0.6343408
threshold_30,0.0,0.75,0.6159233
threshold_31,0.0,0.775,0.6121135
threshold_32,0.0,0.8,0.60139954
threshold_33,0.0,0.825,0.59895164
threshold_34,0.0,0.85,0.5910012
threshold_35,0.0,0.875,0.5894492
threshold_36,0.0,0.9,0.58642584
threshold_37,0.0,0.925,0.5711769
threshold_38,0.0,0.95,0.56778145
threshold_39,0.0,0.975,0.53663385
threshold_40,0.016666666666666666,0.975,0.52914333
threshold_41,0.03333333333333333,0.975,0.52526116
threshold_42,0.05,0.975,0.51800436
threshold_43,0.05,1.0,0.5128284
threshold_44,0.06666666666666667,1.0,0.50211746
threshold_45,0.08333333333333333,1.0,0.49667194
threshold_46,0.1,1.0,0.484328
threshold_47,0.11666666666666667,1.0,0.48033574
threshold_48,0.13333333333333333,1.0,0.475333
threshold_49,0.15,1.0,0.46402258
threshold_50,0.16666666666666666,1.0,0.46316648
threshold_51,0.18333333333333332,1.0,0.44933793
threshold_52,0.2,1.0,0.4474108
threshold_53,0.21666666666666667,1.0,0.44334915
threshold_54,0.23333333333333334,1.0,0.43876153
threshold_55,0.25,1.0,0.4369127
threshold_56,0.26666666666666666,1.0,0.43480575
threshold_57,0.2833333333333333,1.0,0.43373096
threshold_58,0.3,1.0,0.4297661
threshold_59,0.31666666666666665,1.0,0.42796028
threshold_60,0.3333333333333333,1.0,0.42419985
threshold_61,0.35,1.0,0.4201909
threshold_62,0.36666666666666664,1.0,0.41974583
threshold_63,0.38333333333333336,1.0,0.41958678
threshold_64,0.4,1.0,0.41546473
threshold_65,0.4166666666666667,1.0,0.41351244
threshold_66,0.43333333333333335,1.0,0.41030416
threshold_67,0.45,1.0,0.39847004
threshold_68,0.4666666666666667,1.0,0.39227235
threshold_69,0.48333333333333334,1.0,0.38983595
threshold_70,0.5,1.0,0.38947102
threshold_71,0.5166666666666667,1.0,0.38635325
threshold_72,0.5333333333333333,1.0,0.38351202
threshold_73,0.55,1.0,0.38012746
threshold_74,0.5666666666666667,1.0,0.37435707
threshold_75,0.5833333333333334,1.0,0.36486205
threshold_76,0.6,1.0,0.36412913
threshold_77,0.6166666666666667,1.0,0.3639855
threshold_78,0.6333333333333333,1.0,0.36198792
threshold_79,0.65,1.0,0.3603131
threshold_80,0.6666666666666666,1.0,0.35539538
threshold_81,0.6833333333333333,1.0,0.35510898
threshold_82,0.7,1.0,0.3498205
threshold_83,0.7166666666666667,1.0,0.3497117
threshold_84,0.7333333333333333,1.0,0.34951222
threshold_85,0.75,1.0,0.3493723
threshold_86,0.7666666666666667,1.0,0.34927157
threshold_87,0.7833333333333333,1.0,0.34891027
threshold_88,0.8,1.0,0.34846228
threshold_89,0.8166666666666667,1.0,0.3467861
threshold_90,0.8333333333333334,1.0,0.34572467
threshold_91,0.85,1.0,0.34273276
threshold_92,0.8666666666666667,1.0,0.34249142
threshold_93,0.8833333333333333,1.0,0.3413532
threshold_94,0.9,1.0,0.33800676
threshold_95,0.9166666666666666,1.0,0.33702448
threshold_96,0.9333333333333333,1.0,0.335698
threshold_97,0.95,1.0,0.32302105
threshold_98,0.9666666666666667,1.0,0.32238755
threshold_99,0.9833333333333333,1.0,0.31035224
threshold_100,1.0,1.0,0.2952075
